No,Student ID,LastName,FirstName,Gender,DoB
1,19127005,Madelynn,Eden,Male,02/15/1999
2,19127009,Nichols,Mcknight,Male,03/17/2001
3,19127010,Penelope,Marco,Male,11/11/2001
4,19127038,Rowe,Glenn,Male,12/19/2001
5,19127044,Rory,Ariel,Male,12/25/2001
6,19127054,Maxwell,Galloway,Male,04/27/2001
7,19127067,Pierce,Jamie,Female,07/26/2001
8,19127078,Day,Quinn,Female,06/25/2001
9,19127081,Fabian,Yandel,Male,09/27/2001
10,19127082,Nelson,Skinner,Male,01/04/2001
11,19127097,Franklin,Gage,Female,04/19/2001
12,19127107,Zhang,Murphy,Female,01/22/2001
13,19127109,Karina,Kody,Male,10/17/2001
14,19127122,Hahn,Duffy,Male,05/11/2001
15,19127142,Marie,Zane,Male,09/08/2001
16,19127146,Adams,Roberson,Male,06/12/2001
17,19127155,Aliya,Jesus,Male,04/11/2001
18,19127172,Wade,Franco,Male,01/30/2001
19,19127189,Erick,Kelsie,Female,01/24/2001
20,19127191,Sparks,Hays,Male,10/02/2001
21,19127201,Kaylee,Johnathan,Male,02/02/2001
22,19127213,Huang,Friedman,Male,10/17/2001
23,19127222,Kamari,Kathy,Male,07/31/2001
24,19127242,Lee,Drake,Male,10/16/2001
25,19127268,Rachel,Lizeth,Female,12/10/2001
26,19127301,Joyce,Powers,Male,01/18/2001
27,19127311,Keaton,Savanah,Male,05/08/2001
28,19127390,Robbins,Hickman,Male,09/28/2001
29,19127416,Sincere,Alicia,Male,07/29/2001
30,19127420,Fowler,Cooper,Male,03/31/2001
31,19127432,Lorena,Aracely,Male,03/13/2001
32,19127451,Lopez,Huynh,Male,11/18/2001
